,Date,ArticleNumber,SectionText,LinkCount,SectionArticleLength,Weekday,Clicks
10,2020-07-23,1,"German specialty chemicals company, Evonik, has announced the opening of a new technology center for 3D printing in Austin, Texas. The site will develop new materials to be manufactured by their novel Structured Polymers technology. The 3D printing industry is expected to grow an average of 24% annually through 2024. Back in 2019, Evonik acquired Austin-based startup Structured Polymers Inc. Structured Polymers' technology produces polymer powders that are then unified by selective laser sintering (SLS). What makes their technology unique is its ability to produce the powders from a wide range of polymers. Evonik is already the leading manufacturer of polyamide (PA) 12 powders, so the acquisition means they can expand into other materials. PA 12 is made from the precursor laurolactam, laurolactam is made from cyclododecatriene (CDT), CDT is made by cyclotrimerization of butadiene, 95% of the world's butadiene comes from the steam cracking of ethane, and that ethane comes out of oil & gas reserves.Read the press release here.",7,1040,3,1.0
11,2020-07-23,2,"Global petrochemical giant, LyondellBasell has announced that their Spheripol polypropylene (PP) manufacturing technology has been selected for a new plant in Quanzhou, China. A subsidiary of Taiwan's Grand Pacific Petrochemical Corporation (GPPC) will operate the new 450,000 metric ton per year facility. LyondellBasell is the world's largest licensor of PP technology. Initially introduced in 1982, the Spheripol process technology now accounts for roughly 35% of the world's PP capacity. You can read more about the technology and it's history here. By licensing their technology LyondellBasell earns royalties, ensures that they can sell their catalyst, and introduces more of the very own Spheripol PP that they produce to the market. Increasing Spheripol's market share can benefit LyondellBasell because it means more customers downstream are already accustomed to using it. Hypothetically, that would make it easier for LyondellBasell to sell their PP.Read the press release here.",4,989,3,1.0
12,2020-07-24,0,"Leaders of the European Union have agreed on a $0.93 per kilogram tax on non-recycled plastic waste as part of their $857 billion COVID-19 recovery package. That's roughly equivalent to a one-cent tax per 16oz water bottle. Initially proposed back in 2018, the tax will be introduced on January 1st, 2021, and will begin generating revenues for the EU's budget. The revenues are not earmarked to support a recycling infrastructure, despite concerns from industry. While European companies are generally supportive of a plastic waste tax, they want to see the money generated go towards sustainability. European leader in chemical recycling, Plastic Energy, warns that the ""tax will only have a positive impact on the sustainability goals if the revenue is directed towards recycling infrastructure, investment, and innovation in the field."".Read more here on ICIS.",4,864,4,1.0
13,2020-07-24,1,"Industrial gases company, Air Liquide, has announced an investment of $142 million to construct a combined Air Separation Unit (ASU) with a built-in energy storage system in the Netherlands. Storing energy is an important aspect of renewable energy development because the wind isn't always blowing and the sun isn't always shining. ASUs separate oxygen, nitrogen, and argon from air by cooling the air down (we're talking -221°F) until it liquefies. You can then pass the liquid air through a distillation column to separate the components. Or, you could store that liquid air, and later expand it back into a gas to power a turbine. While Air Liquide hasn't specified exactly what they will be doing, it seems likely that they will be utilizing this cryogenic energy storage system. It's extremely costly to build a cryogenic air storage system (see Highview Power) for the sole purpose of energy storage. But the marginal cost of adding storage and energy production capability to a new (or already existing?) ASU? That could be feasible.Read the press release here.",4,1069,4,10.0
14,2020-07-24,2,"The Abu Dhabi National Oil Company (ADNOC) and holding company ADQ (previously known as Abu Dhabi Development Holding Company) have agreed to form a 60:40 joint venture. The JV will be dedicated to funding the UAE's chemical sector, and will specifically oversee the development of projects in the planned Ruwais Derivatives Park. ADNOC has feedstock available in the region and has solid relationships with international investorsADQ has a portfolio of infrastructure assets and will provide investors with confidence that all critical infrastructure will be in place The UAE is competing against neighboring countries such as Saudi Arabia, Qatar, and Kuwait for investment in the region. All of these countries are looking to diversify their chemicals sector to ensure future growth. By teaming up to form this JV, they should become more competitive regionally.Read more here on the Saudi Gazette.",4,900,4,3.0
15,2020-07-27,0,"Michigan-based chemical corporation, Dow, has announced a 6% reduction in its workforce (2,000 people) due to the impact of COVID-19. The earnings report also disclosed that they will be taking actions to exit uncompetitive assets (like the rail assets mentioned a couple of weeks ago). Dow's CFO stated in a post-earnings call that ""[they] are in the beginning phases of what is likely to be an uneven recovery,"". They hope to reduce their expenses in 2020 by $500 million compared to last year. As hard as it is, eliminating these jobs will help Dow meet that target. Dow is not the only company taking these actions. German chemical giant BASF announced a month ago that they will be eliminating 5% of their workforce (6,000 people). Schlumberger just cut 20% of its workforce (21,000 people). There are rumors about ExxonMobil as well.Read more about Dow's announcement here on MLive.",7,888,0,46.0
16,2020-07-27,1,"Belgium's specialty chemical company, Solvay, is set to have 6500 MWh of solar panels at their peroxide site operational in the Netherlands sometime in August. The solar panels will contribute 40% of the plant's energy needs, and reduce their CO2 emissions by 17%. On a sunny day, 33% of the power generated from solar panels is enough to power the plant. All of that excess power generated by the solar panels will be fed to nearby homes. Conversely, when its cloudy 60% of the facility's energy will still need to be purchased from the grid. This isn't Solvay's first venture into solar power, but this is the first time the solar panels are actually connected to the plant. In March 2017, Solvay purchased 15-years worth of Renewable Energy Certificates (RECs) from a solar farm they built in South Carolina (hype video here). By purchasing those RECs they can say that their plant in Baton Rouge, that doesn't literally run on renewable energy, is powered by a solar farm.Read the press release here.",7,1004,0,15.0
17,2020-07-27,2,"Norwegian energy giant, Equinor, announced their Q2 earnings last Friday, and it wasn't nearly as bad as expected. Analysts were anticipating a loss of $200 million, but they ended up with a surprise profit of $350 million in adjusted earnings before interest and tax (EBIT). Still, that profit is down 89% from last year's Q2 profit of $3.15 billion. Equinor's CEO said in a statement that the financial results were a result of ""very low realized oil and gas prices due to the pandemic, but also by a strong trading performance in volatile markets,"". In those volatile markets, Equinor's commodity trading division was able to exploit the collapse in the value of short-term contracts. Total, Shell, ConocoPhillips, ExxonMobil, and Chevron will all be reporting their quarterly earnings this week. Kathy Hipple, and analyst at the Institute for Energy Economics and Financial Analysis (IEEFA), told CNBC that she thinks ""it is going to be brutal and ugly"". We'll have to see how bad it really ends up being.Read more about Equnior's earnings here on Reuters.",4,1060,0,13.0
18,2020-07-28,0,"French oil major, Total, has announced that the sale of their 110,000 barrel per day (bpd) Lindsey refinery in the UK to the Prax Group for an undisclosed amount. Prax Group, headquartered in the UK, is a quickly growing oil company specialized in the physical trading of oil. Stated boldly on their website, ""[their] vision is to be an integrated global oil conglomerate"". The acquisition secures a local supply for Prax, as well as make them more integrated and competitive in the UK. Total is looking to focus their investments on integrated refining and petrochemical sites. They would rather allocate that capital towards those sites for quite a few reasons.Read the press release here.",3,691,1,17.0
19,2020-07-28,1,"At the end of June, Meridian Energy Group (MEG), had their air quality permit to construct a refinery in North Dakota upheld by the Supreme Court. Now, MEG is looking to complete the $1 billion funding required for the project by 2021. If all goes as planned this would be one of the few refineries to be built since 1977. The 49,500 barrel per day refinery (over 50,000 requires an additional permit) will be located at the heart of the Bakken shale region. They will specialize in refining the specific grade of oil that comes from that region and serve just the local market. In the words of their CEO, they will ""get the crude at a better price, and also have lower operating and capital costs per barrel."". By serving a local market there are transportation emission reductions since you don't need to ship the oil to the Gulf and the refined product back up north. The plant's total emissions (including transportation) will be 10% of the industry average on a per-barrel basis, and the actual emissions from the plant will be less than half the industry average.Read more here on Forbes.",4,1094,1,29.0
20,2020-07-28,2,"Danish industrial enzymes manufacturer, Novozymes, has announced two new enzymes to produce hydrolyzed vegetable protein (HVP) from plant proteins. HVP is a food additive used to enhance the savory taste of meat-analogs thanks to the monosodium glutamate (MSG) it contains. UBS predicts that the plant-based-protein market will grow by 28% per year through 2030. Currently, analog-meat manufacturers source their HVP from the acid hydrolysis of plant proteins. This is yet another example of a company using a bioprocess to produce identical end products as an alternative to the traditional chemical process.Read the press release here.",7,637,1,51.0
21,2020-07-29,0,"US-based private equity (PE) firm, SK Capital, has acquired Baker Hughes's specialty polymers business for an undisclosed price. Headquartered in Houston, Baker Hughes, is primarily an oil field services corporation with revenues of over $20 billion annually. This polymers business generates revenues of $100 million annually, making it a non-core business. The private equity firm specializes in the specialty materials, chemicals, and pharmaceutical sectors. they set up funds for investors, acquire businesses in these sectors,  merge and restructure them, and then eventually sell for a profit. See their portfolio of current and prior companies here. The only manufacturing site in the business they are buying is located in Barnsdall, Oklahoma. The plant makes polyethylene (also PE) waxes used as plastic additives and inkjet-printer inks. SK Capital sees the business as a new platform for organic growth as well as M&A activity.Read the press release here.",8,966,2,35.0
22,2020-07-29,1,"France's oil major, Total, and India's largest refiner, Indian Oil Corporation Ltd. (IOCL), have announced the formation of a 50:50 joint venture (JV) company to produce bitumen derivatives and specialty products in India. The JV will take over Total's existing plant in Jodhpur, India, and begin the planning for new plants. Bitumen is the liquid binder that holds asphalt together. It's a black viscous mixture of hydrocarbons that is a by-product of petroleum distillation. Total leads Europe in the manufacture and supply of bitumen, and IOCL is the largest player in India's bitumen market. Together they hope to combine their knowledge (and finances) to cater to the quickly expanding road network in India and other South Asian markets.Read the press release here.",5,771,2,11.0
23,2020-07-29,2,"Italy's Maire Technimont subsidiary, NextChem, has signed an agreement to license US-based LanzaTech's waste-to-fuel technology in Italy. LanzaTech has developed a process that obtains a gas from non-recyclable plastic waste (plasmix1) and refuse-derived oil (RDF). That gas is then processed by LanzaTech’s “syngas fermentation” technology, which produces ethanol from bacteria. That ethanol could then be used for things like hand sanitizer, as an additive in gasoline, or to produce ethyl acetate (a solvent for car paints). NextChem already owns technologies that can convert the same waste mentioned above into hydrogen and methanol. By partnering with LanzaTech they can now produce ethanol from the same feedstock. In the words of their CEO, “NextChem aims to provide the market with technological solutions to completely replace traditional fossil-based chemistry with biochemistry and waste chemistry."".Read the press release here.",7,940,2,32.0
24,2020-07-30,0,"German chemical giant, BASF, has announced that it can now provide their customers with a Product Carbon Footprint (PCF) for their entire portfolio of 45,000 products. They will start rolling out this data in the coming months and will have the entire portfolio released by the end of 2021. The calculation is based on a combination of internal and external data. BASF's emission data from their production facilities, as well as average data for purchased raw materials and energy. This means that the calculation isn't only about BASF's emissions, it also includes the emissions for acquiring the raw material and the source of energy used to produce it. Customers of the chemicals industry are looking to reduce their carbon emissions. BASF is hoping to ""create an industry-wide level playing field and comparability for products"". This way, companies can make informed choices about the emissions associated with the products they purchase. That would enable consumers to choose a supplier who offers the same product with fewer emissions, or it could lead the customer to develop plans with BASF to reduce those emissions.Read the press release here.",6,1155,3,28.0
25,2020-07-30,1,"International oil, gas, and chemicals EPC company, TechnipFMC, has announced that their ethanol dehydration (converts ethanol to ethylene) technology will be getting its first commercial application. The technology will be licensed by US-based LanzaTech to produce sustainable aviation fuel (SAF) at a new facility in Soperton, Georgia. TechnipFMC's technology is just one piece of the puzzle. LanzaTech will be combining that technology with their own, as well as utilizing technology developed by the Pacific Northwest National Laboratory (PNNL). The plant should begin producing jet fuel from a renewable feedstock of ethanol when it starts up in early 2022. TechnipFMC announced their Q2 earnings yesterday afternoon, revealing a net income decrease of 88% from $97 million to $12 million. Increased costs must be to blame as revenues were only down 8% from this time last year, decreasing from $3.4 billion to $3.1 billion.Read more about TechnipFMC's technology announcement here on BiofuelsDigest.",6,1004,3,22.0
26,2020-07-30,2,"Energy and chemicals company based out of South Africa, Sasol, has announced that they will be selling the world's largest oxygen production site to French industrial gases company Air Liquide. The facility is home to 16 Air Separation Units (ASU) and can produce 42,000 tons per day of pure oxygen. Sasol has a total debt burden of $15 billion and is looking to reduce that burden amid the pandemic and oil price slump. While the proceeds from the sale represent a small portion of that debt (about 3%), it makes sense to sell so long as their interest payment on those ASU's is greater than the amount they could expect to make from them. Air Liquide actually built and sold these ASUs to Sasol, and should begin operating them as soon as the sale is made official (within a year). Once Air Liquide has the plants back in their hands they are planning on implementing a project to reduce the emissions from the plant by 30-40%.Read more here on MoneyWeb.",5,956,3,10.0
27,2020-07-31,0,"Saudi Arabia's chemical giant, SABIC, has announced that their polycarbonate manufacturing site in Cartagena, Spain will operate on 100% renewable energy. Solvay's site mentioned earlier this week will only run on 40% renewable energy. SABIC will now be able to offer their customers polycarbonate solutions produced with 100% renewable power. That polycarbonate that lines hockey rinks, makes bulletproof windows, and covers LCD screens can now be purchased as a ""green"" product. As you might imagine, some customers may be willing to pay more for that fact. The world's largest electric utility, Spanish Iberdrola, will be installing 263,000 solar panels on SABIC's land. The plant should begin operations in 2024, just in time for SABIC to reach their 2025 clean energy goals.Read more about SABIC's plant here on North American Clean Energy.",6,845,4,32.0
28,2020-07-31,1,"US-based oil major, Exxon, announced their second-quarter earnings this morning revealing a net loss of $1.08 billion compared to a net profit of $3.13 billion this quarter last year. Exxon paid out $3.7 billion in dividends ($0.87/share) this quarter with virtually all of that money being borrowed. Exxon's CEO, Darren Woods, says “we do not plan to take on any additional debt.” By the end of this quarter, Exxon's total debt has risen to $69.5 billion. That is up $9.9 billion from last quarter, and up $24.3 billion from this time last year. Chevron announced an $8.3 billion loss for the quarter (yes, they still paid dividends). But both Shell and Total posted profits for the quarter, $638 million and $126 million respectively. How did they do it? Just like it was mentioned earlier this week, their strong trading divisions saved them just like it saved Equinor.Read more about Exxon here on 24WallSt.",6,911,4,30.0
29,2020-07-31,2,"The second-largest US refiner (Marathon gets first place), Valero, announced that they will be operating its 15 refineries at up to 79% of their total capacity through Q3. While demand is still reduced due to the pandemic, the company anticipates the demand to return to pre-pandemic normal sometime next year. The company recorded a net loss of $504 million for the quarter as their refining margins fell 58%. They produced 647,000 barrels per day (bpd) fewer than they did in the second quarter of last year. Just because Valero took a loss this quarter doesn't mean they won't pay out a dividend. CEO of Valero, Joe Gorder, said they will stay true to their strategies and continue, ""honoring our commitment to stockholder returns"". So part of that $504 million loss for the quarter was $400 million that was paid back to investors in the form of a dividend ($0.98/share).Read more here on StreetInsider.",6,907,4,10.0
30,2020-08-03,0,"A bipartisan Sustainable Chemistry Research and Development Act was passed by the Senate last week as part of the annual NDAA (specifies the annual budget of the U.S. Department of Defense). The bill's introduction was led by Delaware Senator Chris Coons, and he summarized the benefits in three main ways:Creates a cohesive national vision for sustainable chemistry research and developmentImproves the training of chemists and other professionalsBuilds new partnerships with the private sector The executive director of the GC3 Sustainable Chemistry Alliance wrote, ""There is surging global demand for sustainable chemistry ingredients in consumer and commercial products and investors are increasingly rewarding companies that develop and source such products."". The bill will direct coordination between all entities in the US, encouraging the cohesive development of the sustainable chemical industry.Read the press release here.",4,934,0,27.0
31,2020-08-03,1,"A subsidiary of the Swiss technology giant, ABB Group, ABB Industrial Automation has announced the release of a new analytics and AI software to help the chemical process industries optimizes their operations. The software will combine operational data with other engineering and IT data to provide actionable insights for manufacturers. Chief Technology Officer for ABB Industrial Automation provided one example: ""We can pull data from these real-time control systems and make it available to predict issues and prescribe actions that help us use assets better and fine-tune production processes."". Artificial Intelligence has the potential to improve the chemical process industries in many ways. The industry is just now getting its feet wet with machine learning technologies, but its eventual usage seems inevitable. Other companies like C3.ai and Imubit already offer solutions using similar technology.Read the press release here.",7,938,0,47.0
32,2020-08-03,2,"Japan-based chemical producer, Mitsubishi Chemical Corporation (MCC), announced late last week that they have acquired two German carbon fiber recycling companies through their Swiss subsidiary. The acquisitions reflect the company's effort to promote the circular economy. MCC acquired some other companies earlier this year: one involved in carbon fiber prepreg manufacturing and two others involved in plastics recycling. Now with these latest acquisitions MCC can ""establish a chain from the manufacture of carbon fibers and carbon fiber composites to collection and recycling of products"". MCC plans on offering ""total solutions including product recycling to customers, by using recycled products as raw materials within the group.""Read the press release here.",6,766,0,14.0
33,2020-08-04,0,"The US's largest refiner, Marathon Petroleum, has announced that it will be permanently shutting down two refineries in the US. The closure of the refinery in Martinez, California (166,000 barrels per day) and Gallup, New Mexico (26,000 barrels per day) will result in the elimination of 800 jobs. Due to decreased demand as a result of COVID-19, the two refineries were idled earlier this year. Those refineries were chosen to be idled because they are the two highest cost refineries in Marathon's portfolio. Both of the refineries were part of Marathon's acquisition of Andeavor back in 2018. No plans have been announced for the small Gallup refinery. The Martinez refinery was California's fourth-largest, and Marathon plans on converting it into an oil-storage facility. Marathon also mentioned in their statement that they are ""evaluating the strategic repositioning of Martinez to a renewable diesel facility, which aligns with California’s Low Carbon Fuel Standards objectives and MPC’s greenhouse gas reduction targets.""Read more here on Bloomberg.",6,1058,1,6.0
34,2020-08-04,1,"Italy's Maire Technimont subsidiary, NextChem, has signed an agreement to license Brazilian GranBio's ethanol from non-food biomass technology. The technology has already been implemented in Brazil and utilizes agricultural waste and energy crops as feedstocks for ethanol production. The production of cellulosic ethanol isn't a new concept and has traditionally been criticized for being uneconomical. NextChem was mentioned last Wednesday when they signed a similar agreement with LanzaTech to produce ethanol from other waste sources like non-recyclable plastic. Now, NextChem will be able to produce ethanol from other waste streams like ""cane straw, miscanthus, and corn stover and even leftover wood such as pine and eucalyptus"", says the CEO of GranBio.Read the press release here.",9,789,1,9.0
35,2020-08-04,2,"Global petrochemical corporation, LyondellBasell, announced that they will be delaying the completion of their $2.4 billion propylene oxide (PO) and tertiary butyl alcohol (TBA) plant to Q3 2022. The plant began construction back in 2018 and was initially scheduled to startup sometime next year. CEO of LyondellBasell, Bob Patel, said in their Q2 earnings conference call, ""we've essentially delayed the project by one year"". The project was initially slowed a couple of months ago to limit the spread of COVID-19 between construction workers. The majority of PO produced globally is converted into polyols, which are then most commonly used to produce polyurethanes (aka mattresses, foam insulation, seats, Spandex, etc). TBA, on the other hand, is mainly used to produce ethyl tertiary butyl ether (ETBE) which is used to increase the octane rating of gasoline (increases combustion efficiency, decreasing emissions), but for better or worse is primarily exported from the US.Read more here on ICIS.",10,1002,1,19.0
36,2020-08-05,0,"Dutch energy giant, Shell, has announced that the sale of the US Appalachia assets to National Fuel has been completed. For $541 million in cash, the sale includes ~450,000 net leasehold acres and 350 producing wells. Shell's upstream director says, ""While we maximize cash in the current environment, our drive for a competitive position in Shales continues."". Shell's earnings for this last quarter were down 82% from $3.5 billion to $638 million. The director also noted, ""Divesting our Appalachia position is consistent with our desire to focus our Shales portfolio,"". Shell's Shales strategy is to focus on the development of light tight oil assets which yield a higher margin. Shell remains committed to the region through its Pennsylvania Petrochemicals Complex, and still has many Shales assets inside and outside the US.Read the initial sale press release here and the completion announcement here.",9,907,2,18.0
37,2020-08-05,1,"US-based chemical plastics recycling start-up, Brightmark, has announced that it is looking to procure over 1.2 million tons per year of post-use plastics. If you happen to have 1,000 tons of plastic waste sitting around you can actually sign up to supply Brightmark here. Brightmark currently only operates one plant in Indiana, and it can only handle 100,000 tons of plastic waste per year. Math tells us that Brightmark is looking to procure 12 times that amount of plastic waste. That might mean they are looking to build more than the couple plants they've already announced. The US has a bit of a plastics recycling problem. The US only recycles 10% of its plastic waste because China was willing to import and handle the US's waste until 2018. Now, new companies like Brightmark and Agilyx are stepping in to increase the US's recycling capacity.Read the press release here.",8,881,2,38.0
38,2020-08-05,2,"Indian state-owned oil and gas company, Indian Oil Corporation Limited (IOCL), has announced that they will be constructing a $1.8 billion petrochemical complex in India. The site will produce 1,200,000 tons/year of purified terephthalic acid (PTA). PTA is normally produced by the conversion of paraxylene via the Amoco process. The paraxylene used for that was probably created by the catalytic reforming of naptha (a major component in gasoline). Essentially all the PTA that is produced is used to produce polyethylene terephthalate (PET). PET is a polymer used to produce bottles, carpet, clothing, insulation for jackets and sleeping bags, etc. The plant is scheduled to start-up in early 2024, and the 3-year construction period will employ over 2,000 people. The site will be integrated (this is getting trendy) with their refinery to source the naptha (which in turn will become paraxylene, then PTA, then PET, and then the things you buy).Read more here on NS Energy.",8,977,2,31.0
39,2020-08-06,0,"A group of 10 companies, called WESTKUESTE 100, have announced that they will be building a 30 MW green hydrogen production plant at a refinery in Germany. The plant will be powered by surplus wind energy, and the oxygen coproduct will be sold to a nearby cement plant. The production of hydrogen from water is done by electrolysis. This method is much more expensive than existing hydrogen production methods, but attracts interest because it can be done with zero emissions. In order to get it done this project is being funded jointly by the 10 partners, as well as $35 million from the German government. Many countries, especially in Europe, are investing in hydrogen as a fuel for heating and transport as a replacement for oil and gas. Last month, Germany agreed on a national hydrogen strategy to decarbonize its economy. They hope to have 5,000 MW of hydrogen electrolysis capacity by 2030. So this new plant, while a great start, is just a drop (30 MW) in the bucket (5,000 MW).Read more here on GulfNews.",8,1015,3,30.0
40,2020-08-06,1,"Headquartered in Pennsylvania, industrial gases giant Air Products has announced that they will be providing Qatargas with its natural gas liquefaction technology. Qatargas, a joint venture majority-owned by Qatar Petroleum, is currently in the middle of expanding the world's largest liquefied natural gas (LNG) project. LNG is the liquid form of natural gas (aka methane and a little bit of ethane). Natural gas is used for heating, electricity generation, and is an important feedstock for countless different chemicals. Not every country has enough natural gas as they demand, so it needs to be transported between regions. By liquifying the natural gas its volume becomes 600 times smaller, allowing it to be shipped overseas where pipelines don't make sense. The majority of the total LNG produced worldwide is done with Air Products' technology. Their technology ""enables significantly higher LNG production without requiring individual equipment items to be significantly larger and provides an efficient and flexible operation over a wide range of production capacities."".Read the press release here.",7,1109,3,17.0
41,2020-08-06,2,"Thailand-based petrochemical company, Indorama Ventures (IVL), announced that they have acquired a polyethylene terephthalate (PET) recycling facility in Poland. IVL is a world leader in PET production (talked about PET yesterday in IndianOil's announcement). In response to the plastic waste problem, the company is committed to enhancing the circularity of PET. In a statement, they said that the ""acquisition is consistent with IVL’s ambitious target in scaling its recycling capacity to reach 750,000 tonnes by 2025"", and that they intend on investing ""$1.5 billion to achieve this"". The Polish recycler they acquired can produce 27,000 tons of recycled PET per year. Poland as a whole actually recycles 260,000 tons of PET per year. This makes Poland a strategic market for IVL, and they see the acquisition as ""an attractive recycling platform for IVL in Eastern Europe"". A platform acquisition is exactly what it sounds like.Read the press release here.",7,960,3,23.0
